request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
Q032,L015,L048,Document,3,2026-07-08T08:18,2026-07-08T10:42,ASSIGNED
Q033,L050,L020,Shuttle Request,1,2026-07-12T10:26,2026-07-12T20:54,COMPLETED
Q034,L011,L014,Maintenance,4,2026-07-02T13:58,2026-07-02T14:48,COMPLETED
Q035,L038,L027,Maintenance,3,2026-07-02T01:09,2026-07-02T03:06,ASSIGNED
Q036,L024,L037,Maintenance,1,2026-07-13T10:56,2026-07-13T21:52,COMPLETED
Q037,L029,L013,Document,2,2026-07-02T16:13,2026-07-02T19:53,ASSIGNED
Q038,L004,L048,Medical,5,2026-07-09T05:17,2026-07-09T06:02,COMPLETED
Q039,L047,L011,IT Support,2,2026-07-18T08:15,2026-07-18T12:13,COMPLETED
Q040,L005,L028,Maintenance,2,2026-07-15T20:19,2026-07-16T00:57,COMPLETED
Q041,L039,L014,Document,1,2026-07-20T15:16,2026-07-21T01:16,ASSIGNED
Q042,L032,L035,Lab Equipment,4,2026-07-07T23:14,2026-07-08T00:31,COMPLETED
Q043,L036,L010,Medical,4,2026-07-16T10:18,2026-07-16T10:55,CANCELLED
Q044,L008,L038,Medical,4,2026-07-19T08:22,2026-07-19T09:38,NEW
Q045,L017,L018,Document,2,2026-07-15T16:53,2026-07-15T22:48,COMPLETED
Q046,L043,L047,Shuttle Request,3,2026-07-19T21:56,2026-07-20T00:42,NEW
Q047,L043,L010,IT Support,2,2026-07-14T21:43,2026-07-14T23:54,COMPLETED
Q048,L027,L003,Document,1,2026-07-04T13:29,2026-07-04T22:27,COMPLETED
Q049,L036,L027,Medical,5,2026-07-03T02:40,2026-07-03T03:09,COMPLETED
Q050,L011,L014,Maintenance,1,2026-07-04T12:03,2026-07-04T21:45,CANCELLED
Q051,L040,L028,Shuttle Request,1,2026-07-19T16:07,2026-07-20T01:38,COMPLETED
Q052,L014,L005,IT Support,4,2026-07-03T12:02,2026-07-03T13:09,COMPLETED
Q053,L009,L008,Maintenance,3,2026-07-02T17:03,2026-07-02T19:07,COMPLETED
Q054,L007,L046,IT Support,3,2026-07-15T14:34,2026-07-15T16:32,COMPLETED
Q055,L016,L022,Medical,4,2026-07-18T21:45,2026-07-18T23:02,COMPLETED
Q056,L041,L003,Shuttle Request,2,2026-07-19T20:07,2026-07-20T01:54,ASSIGNED
Q057,L014,L030,Shuttle Request,3,2026-07-08T22:26,2026-07-09T01:08,IN_PROGRESS
Q058,L007,L026,Document,2,2026-07-09T19:30,2026-07-09T22:14,COMPLETED
Q059,L005,L002,Medical,5,2026-07-17T00:28,2026-07-17T00:47,COMPLETED
Q060,L041,L022,Lab Equipment,4,2026-07-17T04:07,2026-07-17T05:03,ASSIGNED
Q061,L035,L039,Document,3,2026-07-14T05:04,2026-07-14T07:09,COMPLETED
Q062,L039,L018,Maintenance,3,2026-07-17T19:00,2026-07-17T20:01,COMPLETED
Q063,L036,L006,Lab Equipment,3,2026-07-09T05:38,2026-07-09T06:44,COMPLETED
Q064,L006,L018,IT Support,2,2026-07-15T02:58,2026-07-15T06:31,COMPLETED
Q065,L016,L039,Medical,5,2026-07-07T01:49,2026-07-07T02:34,NEW
Q066,L035,L010,Maintenance,3,2026-07-18T05:23,2026-07-18T07:15,IN_PROGRESS
Q067,L038,L028,Shuttle Request,1,2026-07-18T06:00,2026-07-18T16:45,COMPLETED
Q068,L005,L004,IT Support,2,2026-07-03T21:22,2026-07-04T03:03,ASSIGNED
Q069,L007,L043,Maintenance,3,2026-07-14T05:56,2026-07-14T08:39,COMPLETED
Q070,L040,L014,Lab Equipment,3,2026-07-21T18:10,2026-07-21T20:26,NEW
Q071,L042,L011,Shuttle Request,1,2026-07-20T00:19,2026-07-20T09:52,NEW
Q072,L031,L001,Shuttle Request,3,2026-07-11T05:55,2026-07-11T08:04,COMPLETED
Q073,L013,L046,Medical,4,2026-07-03T17:47,2026-07-03T18:48,NEW
Q074,L018,L017,Maintenance,4,2026-07-05T04:02,2026-07-05T05:11,NEW
Q075,L046,L014,Lab Equipment,2,2026-07-21T00:28,2026-07-21T06:09,NEW
Q076,L015,L014,IT Support,4,2026-07-16T19:41,2026-07-16T20:43,CANCELLED
Q077,L027,L013,IT Support,2,2026-07-19T13:33,2026-07-19T15:51,NEW
Q078,L012,L024,Medical,4,2026-07-12T23:30,2026-07-13T00:44,COMPLETED
Q079,L050,L006,Lab Equipment,2,2026-07-07T09:28,2026-07-07T12:02,NEW
Q080,L013,L007,Medical,4,2026-07-04T10:12,2026-07-04T10:47,IN_PROGRESS
Q081,L032,L033,Shuttle Request,1,2026-07-21T01:52,2026-07-21T05:55,ASSIGNED
Q082,L040,L031,Shuttle Request,1,2026-07-14T05:40,2026-07-14T14:37,COMPLETED
Q083,L022,L049,Lab Equipment,4,2026-07-13T17:39,2026-07-13T18:51,COMPLETED
Q084,L012,L032,Maintenance,2,2026-07-19T07:51,2026-07-19T12:50,ASSIGNED
Q085,L043,L040,Shuttle Request,2,2026-07-19T03:19,2026-07-19T06:20,COMPLETED
Q086,L004,L005,Lab Equipment,3,2026-07-15T14:42,2026-07-15T17:10,COMPLETED
Q087,L038,L006,Lab Equipment,2,2026-07-06T08:23,2026-07-06T10:51,NEW
Q088,L037,L043,Medical,5,2026-07-02T23:26,2026-07-02T23:53,COMPLETED
Q089,L015,L003,Maintenance,2,2026-07-13T09:19,2026-07-13T14:19,CANCELLED
Q090,L034,L017,Lab Equipment,2,2026-07-08T23:56,2026-07-09T05:15,NEW
Q091,L024,L048,Shuttle Request,2,2026-07-04T20:31,2026-07-04T22:37,NEW
Q092,L035,L028,IT Support,2,2026-07-21T23:38,2026-07-22T05:35,NEW
Q093,L036,L039,Shuttle Request,1,2026-07-06T09:33,2026-07-06T20:29,COMPLETED
Q094,L049,L035,Maintenance,1,2026-07-11T16:23,2026-07-12T04:01,IN_PROGRESS
Q095,L006,L049,IT Support,3,2026-07-04T21:49,2026-07-04T23:31,NEW
Q096,L023,L037,Shuttle Request,2,2026-07-21T08:06,2026-07-21T10:57,NEW
Q097,L003,L049,Medical,5,2026-07-03T01:03,2026-07-03T01:25,ASSIGNED
Q098,L008,L022,IT Support,4,2026-07-16T23:26,2026-07-17T00:11,COMPLETED
Q099,L030,L010,Shuttle Request,2,2026-07-03T16:07,2026-07-03T21:59,NEW
Q100,L038,L047,Shuttle Request,3,2026-07-14T06:22,2026-07-14T07:46,NEW
Q101,L040,L046,Maintenance,4,2026-07-14T19:21,2026-07-14T20:17,ASSIGNED
Q102,L031,L008,Document,1,2026-07-14T20:46,2026-07-15T03:18,COMPLETED
Q103,L012,L002,Lab Equipment,2,2026-07-12T05:54,2026-07-12T09:13,COMPLETED
Q104,L049,L041,Maintenance,4,2026-07-07T01:44,2026-07-07T02:36,ASSIGNED
Q105,L042,L027,Security,4,2026-07-06T12:24,2026-07-06T13:01,NEW
Q106,L023,L002,Maintenance,4,2026-07-15T11:31,2026-07-15T12:05,COMPLETED
Q107,L011,L046,Security,4,2026-07-07T11:09,2026-07-07T11:54,COMPLETED
Q108,L038,L020,Maintenance,2,2026-07-12T01:50,2026-07-12T05:57,COMPLETED
Q109,L027,L032,Maintenance,1,2026-07-20T23:56,2026-07-21T08:11,CANCELLED
Q110,L006,L015,Maintenance,2,2026-07-16T18:34,2026-07-17T00:05,COMPLETED
Q111,L047,L008,IT Support,4,2026-07-17T08:23,2026-07-17T08:54,NEW
Q112,L040,L047,Lab Equipment,4,2026-07-09T07:01,2026-07-09T08:01,CANCELLED
Q113,L022,L009,Shuttle Request,3,2026-07-09T17:55,2026-07-09T18:56,ASSIGNED
Q114,L029,L046,Shuttle Request,1,2026-07-04T21:51,2026-07-05T09:00,IN_PROGRESS
Q115,L029,L044,Lab Equipment,4,2026-07-20T09:22,2026-07-20T10:00,COMPLETED
Q116,L019,L044,Shuttle Request,1,2026-07-08T23:34,2026-07-09T03:59,IN_PROGRESS
Q117,L008,L025,Maintenance,2,2026-07-05T19:51,2026-07-05T23:45,ASSIGNED
Q118,L017,L032,Security,3,2026-07-03T13:00,2026-07-03T14:57,IN_PROGRESS
Q119,L038,L024,Maintenance,2,2026-07-20T00:47,2026-07-20T05:41,COMPLETED
Q120,L036,L026,Maintenance,1,2026-07-01T11:02,2026-07-01T15:25,COMPLETED
Q121,L035,L033,Maintenance,2,2026-07-14T03:30,2026-07-14T08:32,IN_PROGRESS
Q122,L001,L002,Maintenance,1,2026-07-12T10:49,2026-07-12T21:05,IN_PROGRESS
Q123,L019,L038,IT Support,4,2026-07-19T01:05,2026-07-19T01:39,NEW
Q124,L015,L016,Shuttle Request,3,2026-07-06T21:45,2026-07-07T00:34,ASSIGNED
Q125,L030,L003,Medical,4,2026-07-18T18:36,2026-07-18T19:27,NEW
Q126,L005,L021,Maintenance,4,2026-07-01T22:34,2026-07-01T23:55,COMPLETED
Q127,L047,L037,Lab Equipment,2,2026-07-18T12:20,2026-07-18T17:45,COMPLETED
Q128,L027,L005,Lab Equipment,2,2026-07-11T01:14,2026-07-11T06:00,COMPLETED
Q129,L022,L021,Document,2,2026-07-06T13:05,2026-07-06T16:15,COMPLETED
Q130,L004,L033,Lab Equipment,3,2026-07-18T14:28,2026-07-18T17:18,COMPLETED
Q131,L030,L008,IT Support,2,2026-07-01T16:27,2026-07-01T21:56,COMPLETED
Q132,L029,L024,Maintenance,4,2026-07-10T15:22,2026-07-10T16:40,ASSIGNED
Q133,L023,L036,Maintenance,1,2026-07-07T04:15,2026-07-07T11:26,COMPLETED
Q134,L001,L047,Maintenance,4,2026-07-11T13:11,2026-07-11T14:27,IN_PROGRESS
Q135,L020,L039,Document,1,2026-07-16T23:45,2026-07-17T05:11,COMPLETED
Q136,L031,L010,IT Support,4,2026-07-09T04:14,2026-07-09T05:22,CANCELLED
Q137,L028,L026,Shuttle Request,1,2026-07-13T10:33,2026-07-13T18:49,NEW
Q138,L009,L048,Medical,5,2026-07-11T13:25,2026-07-11T14:09,IN_PROGRESS
Q139,L034,L026,Document,3,2026-07-13T13:33,2026-07-13T15:03,COMPLETED
Q140,L007,L030,Medical,4,2026-07-14T15:02,2026-07-14T16:04,COMPLETED
Q141,L018,L037,IT Support,3,2026-07-12T10:00,2026-07-12T12:26,COMPLETED
Q142,L005,L009,IT Support,3,2026-07-05T23:07,2026-07-06T00:27,IN_PROGRESS
Q143,L023,L038,Lab Equipment,3,2026-07-03T01:50,2026-07-03T03:10,COMPLETED
Q144,L017,L041,Maintenance,4,2026-07-06T18:32,2026-07-06T19:53,ASSIGNED
Q145,L048,L025,Document,3,2026-07-16T09:00,2026-07-16T10:40,ASSIGNED
Q146,L046,L015,IT Support,2,2026-07-13T12:31,2026-07-13T14:52,NEW
Q147,L014,L007,IT Support,4,2026-07-14T16:59,2026-07-14T17:43,COMPLETED
Q148,L023,L005,IT Support,4,2026-07-18T16:14,2026-07-18T16:53,COMPLETED
Q149,L046,L021,IT Support,3,2026-07-09T11:01,2026-07-09T13:10,COMPLETED
Q150,L041,L025,Medical,4,2026-07-16T06:57,2026-07-16T07:54,NEW
Q151,L016,L030,Shuttle Request,1,2026-07-15T20:02,2026-07-16T06:17,COMPLETED
Q152,L032,L016,Maintenance,3,2026-07-08T04:12,2026-07-08T06:31,COMPLETED
Q153,L007,L001,Shuttle Request,1,2026-07-14T14:05,2026-07-14T22:23,COMPLETED
Q154,L044,L021,Lab Equipment,3,2026-07-15T04:57,2026-07-15T06:27,COMPLETED
Q155,L047,L034,Medical,4,2026-07-04T03:14,2026-07-04T04:02,IN_PROGRESS
Q156,L050,L010,IT Support,2,2026-07-06T06:00,2026-07-06T08:17,COMPLETED
Q157,L001,L003,IT Support,4,2026-07-14T07:50,2026-07-14T08:22,ASSIGNED
Q158,L010,L046,Maintenance,2,2026-07-19T09:11,2026-07-19T13:56,COMPLETED
Q159,L047,L020,IT Support,2,2026-07-04T15:10,2026-07-04T18:34,ASSIGNED
Q160,L035,L031,Maintenance,3,2026-07-06T02:40,2026-07-06T04:54,COMPLETED
Q161,L031,L033,Document,2,2026-07-04T14:58,2026-07-04T19:37,ASSIGNED
Q162,L010,L021,Maintenance,3,2026-07-20T19:08,2026-07-20T21:53,ASSIGNED
Q163,L019,L049,Security,4,2026-07-22T01:12,2026-07-22T01:57,NEW
Q164,L007,L004,Shuttle Request,1,2026-07-01T13:34,2026-07-01T22:33,CANCELLED
Q165,L011,L030,Maintenance,1,2026-07-17T02:37,2026-07-17T11:03,IN_PROGRESS
Q166,L035,L013,Medical,4,2026-07-01T22:36,2026-07-01T23:10,ASSIGNED
Q167,L029,L002,Security,5,2026-07-12T01:39,2026-07-12T02:04,ASSIGNED
Q168,L017,L005,Document,1,2026-07-03T18:38,2026-07-04T03:40,IN_PROGRESS
Q169,L011,L026,Security,5,2026-07-09T11:11,2026-07-09T11:50,COMPLETED
Q170,L040,L028,Maintenance,3,2026-07-20T22:04,2026-07-20T23:38,COMPLETED
Q171,L047,L032,Shuttle Request,3,2026-07-20T16:17,2026-07-20T18:59,NEW
Q172,L047,L013,Medical,4,2026-07-10T08:59,2026-07-10T09:49,ASSIGNED
Q173,L048,L035,Maintenance,2,2026-07-20T00:30,2026-07-20T04:49,COMPLETED
Q174,L023,L019,Maintenance,2,2026-07-04T04:04,2026-07-04T07:51,COMPLETED
Q175,L029,L022,Maintenance,4,2026-07-21T19:50,2026-07-21T20:52,COMPLETED
Q176,L047,L023,Shuttle Request,2,2026-07-10T23:37,2026-07-11T05:16,IN_PROGRESS
Q177,L029,L024,Document,2,2026-07-12T20:22,2026-07-12T23:44,NEW
Q178,L005,L029,IT Support,2,2026-07-04T14:48,2026-07-04T18:30,COMPLETED
Q179,L045,L031,Document,1,2026-07-03T01:12,2026-07-03T08:06,ASSIGNED
Q180,L034,L009,Security,5,2026-07-15T08:47,2026-07-15T09:12,COMPLETED
Q181,L028,L007,Medical,5,2026-07-06T07:24,2026-07-06T08:05,COMPLETED
Q182,L018,L030,Medical,5,2026-07-13T00:17,2026-07-13T00:38,IN_PROGRESS
Q183,L002,L010,Document,1,2026-07-02T13:42,2026-07-02T19:16,ASSIGNED
Q184,L017,L049,Shuttle Request,1,2026-07-18T16:12,2026-07-18T23:08,IN_PROGRESS
Q185,L035,L048,Security,3,2026-07-18T23:37,2026-07-19T02:09,COMPLETED
Q186,L026,L027,Shuttle Request,1,2026-07-05T15:00,2026-07-05T21:45,COMPLETED
Q187,L021,L004,Shuttle Request,1,2026-07-11T01:01,2026-07-11T07:34,CANCELLED
Q188,L001,L038,Document,3,2026-07-10T11:29,2026-07-10T14:22,COMPLETED
Q189,L041,L017,Maintenance,2,2026-07-13T23:28,2026-07-14T05:26,COMPLETED
Q190,L020,L015,IT Support,3,2026-07-01T08:15,2026-07-01T09:58,CANCELLED
Q191,L024,L015,Maintenance,4,2026-07-08T17:30,2026-07-08T18:20,COMPLETED
Q192,L010,L043,Document,1,2026-07-09T10:18,2026-07-09T16:12,NEW
Q193,L048,L014,Maintenance,1,2026-07-04T10:59,2026-07-04T20:35,ASSIGNED
Q194,L008,L043,Medical,4,2026-07-12T17:23,2026-07-12T18:49,CANCELLED
Q195,L008,L043,Document,1,2026-07-21T06:16,2026-07-21T13:20,NEW
Q196,L038,L046,Maintenance,2,2026-07-21T11:33,2026-07-21T14:08,COMPLETED
Q197,L007,L026,Shuttle Request,3,2026-07-05T18:37,2026-07-05T20:30,IN_PROGRESS
Q198,L005,L008,Maintenance,3,2026-07-21T14:11,2026-07-21T16:15,COMPLETED
Q199,L007,L030,Maintenance,1,2026-07-05T23:42,2026-07-06T08:06,COMPLETED
Q200,L022,L039,Medical,5,2026-07-05T22:20,2026-07-05T22:40,ASSIGNED
Q201,L025,L049,Maintenance,3,2026-07-14T11:08,2026-07-14T13:48,COMPLETED
Q202,L004,L031,Shuttle Request,1,2026-07-20T10:21,2026-07-20T16:31,COMPLETED
Q203,L011,L024,Medical,4,2026-07-02T12:23,2026-07-02T13:15,COMPLETED
Q204,L025,L039,Security,5,2026-07-16T15:59,2026-07-16T16:26,IN_PROGRESS
Q205,L041,L047,Medical,5,2026-07-03T08:31,2026-07-03T08:51,ASSIGNED
Q206,L024,L020,IT Support,4,2026-07-02T10:30,2026-07-02T11:04,IN_PROGRESS
Q207,L005,L023,Medical,4,2026-07-08T00:31,2026-07-08T01:30,NEW
Q208,L033,L035,Medical,5,2026-07-20T05:26,2026-07-20T06:11,COMPLETED
Q209,L033,L009,Maintenance,2,2026-07-04T21:08,2026-07-05T02:18,ASSIGNED
Q210,L015,L001,Maintenance,3,2026-07-08T04:44,2026-07-08T06:49,ASSIGNED
Q211,L021,L020,Security,4,2026-07-10T09:55,2026-07-10T10:52,ASSIGNED
Q212,L009,L036,Document,1,2026-07-07T03:41,2026-07-07T15:13,COMPLETED
Q213,L041,L015,Security,3,2026-07-11T01:22,2026-07-11T03:37,COMPLETED
Q214,L016,L001,Document,3,2026-07-11T07:33,2026-07-11T09:32,COMPLETED
Q215,L038,L024,Lab Equipment,3,2026-07-05T13:39,2026-07-05T15:02,NEW
Q216,L039,L003,IT Support,2,2026-07-10T08:27,2026-07-10T13:17,COMPLETED
Q217,L024,L004,Security,5,2026-07-03T12:58,2026-07-03T13:20,IN_PROGRESS
Q218,L037,L038,IT Support,3,2026-07-03T16:15,2026-07-03T18:32,NEW
Q219,L031,L040,Security,5,2026-07-09T18:23,2026-07-09T18:43,COMPLETED
Q220,L041,L011,Medical,4,2026-07-09T08:14,2026-07-09T08:47,COMPLETED
Q221,L043,L005,Document,3,2026-07-22T01:33,2026-07-22T03:03,COMPLETED
Q222,L002,L019,Maintenance,4,2026-07-03T17:17,2026-07-03T18:47,IN_PROGRESS
Q223,L047,L003,Shuttle Request,1,2026-07-09T06:05,2026-07-09T15:44,NEW
Q224,L001,L033,Document,2,2026-07-11T06:33,2026-07-11T11:47,IN_PROGRESS
Q225,L045,L017,Document,3,2026-07-22T00:40,2026-07-22T01:54,NEW
Q226,L020,L014,Shuttle Request,1,2026-07-01T21:44,2026-07-02T02:27,COMPLETED
Q227,L046,L049,Maintenance,2,2026-07-21T07:42,2026-07-21T10:53,COMPLETED
Q228,L042,L035,Maintenance,4,2026-07-20T18:17,2026-07-20T19:39,IN_PROGRESS
Q229,L044,L047,Shuttle Request,1,2026-07-12T04:20,2026-07-12T13:13,COMPLETED
Q230,L012,L040,Maintenance,1,2026-07-15T06:59,2026-07-15T14:34,IN_PROGRESS
Q231,L045,L049,Shuttle Request,1,2026-07-02T02:09,2026-07-02T08:28,COMPLETED
Q232,L037,L005,Maintenance,1,2026-07-05T02:34,2026-07-05T12:02,ASSIGNED
Q233,L029,L001,Shuttle Request,2,2026-07-02T15:08,2026-07-02T18:17,NEW
Q234,L021,L035,Lab Equipment,3,2026-07-12T20:29,2026-07-12T22:11,COMPLETED
Q235,L016,L038,IT Support,2,2026-07-09T04:45,2026-07-09T08:14,IN_PROGRESS
Q236,L038,L024,Document,2,2026-07-07T17:09,2026-07-07T20:49,IN_PROGRESS
Q237,L013,L036,Shuttle Request,2,2026-07-11T03:31,2026-07-11T08:00,COMPLETED
Q238,L017,L026,Maintenance,4,2026-07-11T06:09,2026-07-11T07:22,COMPLETED
Q239,L039,L009,IT Support,2,2026-07-18T02:26,2026-07-18T06:49,COMPLETED
Q240,L011,L010,Shuttle Request,3,2026-07-04T05:10,2026-07-04T06:48,ASSIGNED
Q241,L048,L035,Maintenance,3,2026-07-08T18:32,2026-07-08T20:43,NEW
Q242,L023,L011,Document,2,2026-07-15T07:25,2026-07-15T09:44,ASSIGNED
Q243,L047,L008,Shuttle Request,3,2026-07-18T12:55,2026-07-18T14:28,COMPLETED
Q244,L033,L002,IT Support,4,2026-07-09T07:11,2026-07-09T07:50,NEW
Q245,L045,L038,Maintenance,1,2026-07-04T22:50,2026-07-05T03:02,ASSIGNED
Q246,L032,L050,Shuttle Request,1,2026-07-20T22:27,2026-07-21T04:51,ASSIGNED
Q247,L002,L043,Shuttle Request,2,2026-07-13T22:40,2026-07-14T03:01,NEW
Q248,L011,L035,Shuttle Request,2,2026-07-08T21:38,2026-07-09T00:20,ASSIGNED
Q249,L025,L009,Document,3,2026-07-11T08:08,2026-07-11T09:55,COMPLETED
Q250,L049,L021,Document,2,2026-07-03T23:42,2026-07-04T04:27,COMPLETED
Q251,L043,L050,Document,2,2026-07-09T13:02,2026-07-09T17:42,COMPLETED
Q252,L041,L039,Medical,5,2026-07-13T03:05,2026-07-13T03:34,IN_PROGRESS
Q253,L006,L021,Lab Equipment,4,2026-07-16T21:07,2026-07-16T22:33,NEW
Q254,L022,L001,Maintenance,3,2026-07-07T19:50,2026-07-07T21:08,IN_PROGRESS
Q255,L014,L011,Lab Equipment,4,2026-07-08T10:12,2026-07-08T11:40,COMPLETED
Q256,L022,L042,Shuttle Request,3,2026-07-04T13:42,2026-07-04T16:09,IN_PROGRESS
Q257,L002,L005,Document,2,2026-07-16T13:30,2026-07-16T18:13,IN_PROGRESS
Q258,L033,L050,Maintenance,1,2026-07-02T21:25,2026-07-03T08:07,ASSIGNED
Q259,L045,L027,Lab Equipment,4,2026-07-14T13:20,2026-07-14T14:10,COMPLETED
Q260,L030,L045,Medical,4,2026-07-02T04:09,2026-07-02T05:09,IN_PROGRESS
Q261,L008,L050,Lab Equipment,2,2026-07-21T03:43,2026-07-21T07:05,COMPLETED
Q262,L018,L046,Document,2,2026-07-13T04:48,2026-07-13T10:26,ASSIGNED
Q263,L006,L029,IT Support,4,2026-07-08T23:21,2026-07-09T00:20,IN_PROGRESS
Q264,L010,L026,Lab Equipment,4,2026-07-21T02:53,2026-07-21T03:26,COMPLETED
Q265,L043,L019,Maintenance,4,2026-07-05T09:09,2026-07-05T10:39,COMPLETED
Q266,L047,L001,Document,1,2026-07-09T04:25,2026-07-09T11:37,NEW
Q267,L029,L011,Shuttle Request,1,2026-07-14T01:25,2026-07-14T10:21,ASSIGNED
Q268,L008,L014,Shuttle Request,3,2026-07-14T23:25,2026-07-15T02:20,NEW
Q269,L001,L022,Lab Equipment,3,2026-07-02T00:18,2026-07-02T01:54,COMPLETED
Q270,L035,L008,IT Support,4,2026-07-17T08:34,2026-07-17T09:12,NEW
Q271,L005,L032,Document,1,2026-07-19T03:32,2026-07-19T13:12,COMPLETED
Q272,L040,L014,Medical,5,2026-07-03T15:32,2026-07-03T16:07,NEW
Q273,L017,L008,Shuttle Request,1,2026-07-16T20:00,2026-07-17T00:28,IN_PROGRESS
Q274,L047,L040,Medical,5,2026-07-04T02:00,2026-07-04T02:34,COMPLETED
Q275,L037,L025,Shuttle Request,1,2026-07-12T14:21,2026-07-13T00:41,COMPLETED
Q276,L033,L012,IT Support,2,2026-07-19T04:39,2026-07-19T07:20,ASSIGNED
Q277,L040,L027,Document,2,2026-07-03T11:40,2026-07-03T16:30,CANCELLED
Q278,L010,L019,IT Support,2,2026-07-20T05:54,2026-07-20T09:40,NEW
Q279,L045,L012,Maintenance,1,2026-07-01T17:06,2026-07-02T01:21,IN_PROGRESS
Q280,L032,L048,Document,3,2026-07-02T14:01,2026-07-02T16:24,ASSIGNED
Q281,L037,L016,Maintenance,1,2026-07-11T09:37,2026-07-11T18:48,COMPLETED
Q282,L008,L017,Lab Equipment,4,2026-07-22T00:09,2026-07-22T01:22,NEW
Q283,L016,L012,Document,1,2026-07-15T05:59,2026-07-15T13:22,ASSIGNED
Q284,L037,L001,Shuttle Request,1,2026-07-10T20:53,2026-07-11T05:28,COMPLETED
Q285,L049,L018,Lab Equipment,3,2026-07-21T01:11,2026-07-21T03:11,NEW
Q286,L007,L009,Shuttle Request,3,2026-07-01T10:25,2026-07-01T11:52,ASSIGNED
Q287,L022,L013,Maintenance,3,2026-07-20T09:04,2026-07-20T11:49,NEW
Q288,L044,L012,Medical,5,2026-07-10T18:40,2026-07-10T19:02,IN_PROGRESS
Q289,L005,L038,Document,2,2026-07-12T17:54,2026-07-12T20:31,COMPLETED
Q290,L009,L022,Medical,5,2026-07-16T23:18,2026-07-16T23:45,NEW
Q291,L004,L002,Maintenance,2,2026-07-14T08:17,2026-07-14T13:42,ASSIGNED
Q292,L026,L021,Lab Equipment,3,2026-07-02T09:02,2026-07-02T11:42,IN_PROGRESS
Q293,L043,L010,Maintenance,1,2026-07-03T19:58,2026-07-04T07:01,COMPLETED
Q294,L017,L014,Medical,4,2026-07-03T05:01,2026-07-03T06:26,IN_PROGRESS
Q295,L029,L036,Document,3,2026-07-18T08:28,2026-07-18T11:19,COMPLETED
Q296,L004,L032,IT Support,4,2026-07-09T15:03,2026-07-09T15:35,ASSIGNED
Q297,L020,L007,Maintenance,3,2026-07-13T04:19,2026-07-13T06:42,NEW
Q298,L038,L043,IT Support,2,2026-07-11T12:03,2026-07-11T18:00,COMPLETED
